source_sequence,source_module,source_level,source_type,source_identifier,source_name,source_datatype,source_multiplicity,source_definition,source_semantic_path,source_class_term,target_sequence,target_module,target_level,target_type,target_identifier,target_name,target_datatype,target_multiplicity,target_definition,target_semantic_path,target_class_term,transformation,mapping_status,confidence,reason_codes,review_note
127,en16931,2,C,,Document level allowances,,0..*,"Project-defined Document level allowances in the Document level allowance context, represented as structured information.",$.invoice.documentLevelAllowances,Document level allowance,470,btx,3,C,,Header_ Adjustment,,0..*,Document-level allowance or charge adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""allowance""]",Adjustment,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
128,en16931,3,A,,Document level allowance amount,Amount,1..1,"Project-defined Document level allowance amount in the Document level allowance context, represented as Amount.",$.invoice.documentLevelAllowances.documentLevelAllowanceAmount,Document level allowance,472,btx,4,A,,Amount,Monetary,1,Monetary amount of the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""allowance""].btx_Amount",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
129,en16931,3,A,,Document level allowance base amount,Amount,0..1,"Project-defined Document level allowance base amount in the Document level allowance context, represented as Amount.",$.invoice.documentLevelAllowances.documentLevelAllowanceBaseAmount,Document level allowance,473,btx,4,A,,Base Amount,Monetary,0..1,Monetary base amount used to calculate the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""allowance""].btx_BaseAmount",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
130,en16931,3,A,,Document level allowance percentage,Percentage,0..1,"Project-defined Document level allowance percentage in the Document level allowance context, represented as Percentage.",$.invoice.documentLevelAllowances.documentLevelAllowancePercentage,Document level allowance,474,btx,4,A,,Percentage,Pure,0..1,"Percentage rate used to calculate the adjustment, represented as a pure numeric value.","$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""allowance""].btx_Percentage",Adjustment,percentage_representation_review,REVIEW_REQUIRED,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_TRANSFORM_REQUIRED,"v10 current-taxonomy re-review: resolved: current selector field/value is defined. Not executable because R_MULTIPLICITY_REVIEW, R_TRANSFORM_REQUIRED. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. No mapping is inferred."
131,en16931,3,A,,Document level allowance VAT category code,Code,1..1,"Project-defined Document level allowance VAT category code in the Document level allowance context, represented as Code.",$.invoice.documentLevelAllowances.documentLevelAllowanceVatCategoryCode,Document level allowance,477,btx,4,A,,Tax Category,Token,0..1,Tax category applicable to the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""allowance""].btx_TaxCategory",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
132,en16931,3,A,,Document level allowance VAT rate,Percentage,0..1,"Project-defined Document level allowance VAT rate in the Document level allowance context, represented as Percentage.",$.invoice.documentLevelAllowances.documentLevelAllowanceVatRate,Document level allowance,478,btx,4,A,,Tax Rate,Pure,0..1,Tax percentage rate applicable to the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""allowance""].btx_TaxRate",Adjustment,percentage_representation_review,REVIEW_REQUIRED,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_TRANSFORM_REQUIRED,"v10 current-taxonomy re-review: resolved: current selector field/value is defined. Not executable because R_MULTIPLICITY_REVIEW, R_TRANSFORM_REQUIRED. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. No mapping is inferred."
133,en16931,3,A,,Document level allowance reason,Text,0..1,"Project-defined Document level allowance reason in the Document level allowance context, represented as Text.",$.invoice.documentLevelAllowances.documentLevelAllowanceReason,Document level allowance,475,btx,4,A,,Reason,String,0..1,Human-readable reason for the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""allowance""].btx_Reason",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
134,en16931,3,A,,Document level allowance reason code,Code,0..1,"Project-defined Document level allowance reason code in the Document level allowance context, represented as Code.",$.invoice.documentLevelAllowances.documentLevelAllowanceReasonCode,Document level allowance,476,btx,4,A,,Reason Code,Token,0..1,Code identifying the reason for the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""allowance""].btx_ReasonCode",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
135,en16931,2,C,,Document level charges,,0..*,"Project-defined Document level charges in the Document level charge context, represented as structured information.",$.invoice.documentLevelCharges,Document level charge,470,btx,3,C,,Header_ Adjustment,,0..*,Document-level allowance or charge adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""charge""]",Adjustment,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
136,en16931,3,A,,Document level charge amount,Amount,1..1,"Project-defined Document level charge amount in the Document level charge context, represented as Amount.",$.invoice.documentLevelCharges.documentLevelChargeAmount,Document level charge,472,btx,4,A,,Amount,Monetary,1,Monetary amount of the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""charge""].btx_Amount",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
137,en16931,3,A,,Document level charge base amount,Amount,0..1,"Project-defined Document level charge base amount in the Document level charge context, represented as Amount.",$.invoice.documentLevelCharges.documentLevelChargeBaseAmount,Document level charge,473,btx,4,A,,Base Amount,Monetary,0..1,Monetary base amount used to calculate the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""charge""].btx_BaseAmount",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
138,en16931,3,A,,Document level charge percentage,Percentage,0..1,"Project-defined Document level charge percentage in the Document level charge context, represented as Percentage.",$.invoice.documentLevelCharges.documentLevelChargePercentage,Document level charge,474,btx,4,A,,Percentage,Pure,0..1,"Percentage rate used to calculate the adjustment, represented as a pure numeric value.","$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""charge""].btx_Percentage",Adjustment,percentage_representation_review,REVIEW_REQUIRED,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_TRANSFORM_REQUIRED,"v10 current-taxonomy re-review: resolved: current selector field/value is defined. Not executable because R_MULTIPLICITY_REVIEW, R_TRANSFORM_REQUIRED. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. No mapping is inferred."
139,en16931,3,A,,Document level charge VAT category code,Code,1..1,"Project-defined Document level charge VAT category code in the Document level charge context, represented as Code.",$.invoice.documentLevelCharges.documentLevelChargeVatCategoryCode,Document level charge,477,btx,4,A,,Tax Category,Token,0..1,Tax category applicable to the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""charge""].btx_TaxCategory",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
140,en16931,3,A,,Document level charge VAT rate,Percentage,0..1,"Project-defined Document level charge VAT rate in the Document level charge context, represented as Percentage.",$.invoice.documentLevelCharges.documentLevelChargeVatRate,Document level charge,478,btx,4,A,,Tax Rate,Pure,0..1,Tax percentage rate applicable to the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""charge""].btx_TaxRate",Adjustment,percentage_representation_review,REVIEW_REQUIRED,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_TRANSFORM_REQUIRED,"v10 current-taxonomy re-review: resolved: current selector field/value is defined. Not executable because R_MULTIPLICITY_REVIEW, R_TRANSFORM_REQUIRED. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. No mapping is inferred."
141,en16931,3,A,,Document level charge reason,Text,0..1,"Project-defined Document level charge reason in the Document level charge context, represented as Text.",$.invoice.documentLevelCharges.documentLevelChargeReason,Document level charge,475,btx,4,A,,Reason,String,0..1,Human-readable reason for the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""charge""].btx_Reason",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
142,en16931,3,A,,Document level charge reason code,Code,0..1,"Project-defined Document level charge reason code in the Document level charge context, represented as Code.",$.invoice.documentLevelCharges.documentLevelChargeReasonCode,Document level charge,476,btx,4,A,,Reason Code,Token,0..1,Code identifying the reason for the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAdjustment[btx_AdjustmentType=""charge""].btx_ReasonCode",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
143,en16931,2,C,,Document totals,,1..1,"Project-defined Document totals in the Document total context, represented as structured information.",$.invoice.documentTotals,Document total,,,,,,,,,,,,,STRUCTURAL,,,"v10: source grouping Class retained without a single target Class mapping. BT-106 through BT-115 are independently defined EN terms and each maps directly to HeaderAmountStructure[HeaderAmountType=""...""].Amount. No target-only structural row is required."
144,en16931,3,A,,Sum of invoice line net amount,Amount,1..1,"Project-defined Sum of invoice line net amount in the Document total context, represented as Amount.",$.invoice.documentTotals.sumOfInvoiceLineNetAmount,Document total,253,btx,4,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure[btx_HeaderAmountType=""lineNetTotal""].btx_Amount",Header_ Amount Structure,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_HeaderAmountType=lineNetTotal:Amount_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
145,en16931,3,A,,Sum of allowances on document level,Amount,0..1,"Project-defined Sum of allowances on document level in the Document total context, represented as Amount.",$.invoice.documentTotals.sumOfAllowancesOnDocumentLevel,Document total,253,btx,4,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure[btx_HeaderAmountType=""allowanceTotal""].btx_Amount",Header_ Amount Structure,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_HeaderAmountType=allowanceTotal:Amount_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
146,en16931,3,A,,Sum of charges on document level,Amount,0..1,"Project-defined Sum of charges on document level in the Document total context, represented as Amount.",$.invoice.documentTotals.sumOfChargesOnDocumentLevel,Document total,253,btx,4,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure[btx_HeaderAmountType=""chargeTotal""].btx_Amount",Header_ Amount Structure,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_HeaderAmountType=chargeTotal:Amount_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
147,en16931,3,A,,Invoice total amount without VAT,Amount,1..1,"Project-defined Invoice total amount without VAT in the Document total context, represented as Amount.",$.invoice.documentTotals.invoiceTotalAmountWithoutVat,Document total,253,btx,4,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure[btx_HeaderAmountType=""taxExclusiveTotal""].btx_Amount",Header_ Amount Structure,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_HeaderAmountType=taxExclusiveTotal:Amount_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
148,en16931,3,A,,Invoice total VAT amount,Amount,1..1,"Project-defined Invoice total VAT amount in the Document total context, represented as Amount.",$.invoice.documentTotals.invoiceTotalVatAmount,Document total,253,btx,4,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure[btx_HeaderAmountType=""taxTotal""].btx_Amount",Header_ Amount Structure,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_HeaderAmountType=taxTotal:Amount_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
149,en16931,3,A,,Invoice total VAT amount in accounting currency,Amount,0..1,"Project-defined Invoice total VAT amount in accounting currency in the Document total context, represented as Amount.",$.invoice.documentTotals.invoiceTotalVatAmountInAccountingCurrency,Document total,253,btx,4,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure[btx_HeaderAmountType=""taxTotalAccountingCurrency""].btx_Amount",Header_ Amount Structure,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_HeaderAmountType=taxTotalAccountingCurrency:Amount_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
150,en16931,3,A,,Invoice total amount with VAT,Amount,1..1,"Project-defined Invoice total amount with VAT in the Document total context, represented as Amount.",$.invoice.documentTotals.invoiceTotalAmountWithVat,Document total,253,btx,4,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure[btx_HeaderAmountType=""invoiceTotal""].btx_Amount",Header_ Amount Structure,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_HeaderAmountType=invoiceTotal:Amount_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
151,en16931,3,A,,Paid amount,Amount,0..1,"Project-defined Paid amount in the Document total context, represented as Amount.",$.invoice.documentTotals.paidAmount,Document total,253,btx,4,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure[btx_HeaderAmountType=""paidAmount""].btx_Amount",Header_ Amount Structure,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_HeaderAmountType=paidAmount:Amount_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
152,en16931,3,A,,Rounding amount,Amount,0..1,"Project-defined Rounding amount in the Document total context, represented as Amount.",$.invoice.documentTotals.roundingAmount,Document total,253,btx,4,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure[btx_HeaderAmountType=""roundingAmount""].btx_Amount",Header_ Amount Structure,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_HeaderAmountType=roundingAmount:Amount_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
153,en16931,3,A,,Amount due for payment,Amount,1..1,"Project-defined Amount due for payment in the Document total context, represented as Amount.",$.invoice.documentTotals.amountDueForPayment,Document total,253,btx,4,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure[btx_HeaderAmountType=""amountDue""].btx_Amount",Header_ Amount Structure,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_HeaderAmountType=amountDue:Amount_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
154,en16931,2,C,,VAT breakdown,,1..*,"Project-defined VAT breakdown in the VAT breakdown context, represented as structured information.",$.invoice.vatBreakdown,VAT breakdown,233,btx,3,C,,Header_ Tax,,0..*,Class for holding tax related information,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax[btx_TaxType=""VAT""]",Header_ Tax,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
155,en16931,3,A,,VAT category taxable amount,Amount,1..1,"Project-defined VAT category taxable amount in the VAT breakdown context, represented as Amount.",$.invoice.vatBreakdown.vatCategoryTaxableAmount,VAT breakdown,238,btx,4,A,,Basis for Taxation,Monetary,0..1,Basis for taxation,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax[btx_TaxType=""VAT""].btx_BasisforTaxation",Header_ Tax,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_TaxType=VAT:Tax_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
156,en16931,3,A,,VAT category tax amount,Amount,1..1,"Project-defined VAT category tax amount in the VAT breakdown context, represented as Amount.",$.invoice.vatBreakdown.vatCategoryTaxAmount,VAT breakdown,237,btx,4,A,,Amount of Taxes,Monetary,0..1,Amount of taxes,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax[btx_TaxType=""VAT""].btx_AmountofTaxes",Header_ Tax,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_TaxType=VAT:Tax_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
157,en16931,3,A,,VAT category code,Code,1..1,"Project-defined VAT category code in the VAT breakdown context, represented as Code.",$.invoice.vatBreakdown.vatCategoryCode,VAT breakdown,240,btx,4,A,,Tax Category,String,0..1,A class or category of taxes,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax[btx_TaxType=""VAT""].btx_TaxCategory",Header_ Tax,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_TaxType=VAT:Tax_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
158,en16931,3,A,,VAT category rate,Decimal,0..1,"Project-defined VAT category rate in the VAT breakdown context, represented as Decimal.",$.invoice.vatBreakdown.vatCategoryRate,VAT breakdown,239,btx,4,A,,Tax Percentage Rate,Pure,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax[btx_TaxType=""VAT""].btx_TaxPercentageRate",Header_ Tax,percentage_to_pure,TRANSFORM,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_OCCURRENCE_COMPATIBLE,v14: target definition explicitly establishes ratio scale; Decimal /100 forward and *100 reverse accepted task-locally.
159,en16931,3,A,,VAT exemption reason text,Text,0..1,"Project-defined VAT exemption reason text in the VAT breakdown context, represented as Text.",$.invoice.vatBreakdown.vatExemptionReasonText,VAT breakdown,251,btx,4,A,,Tax Exemption Reason Text,String,0..1,Human-readable text describing the reason why the tax occurrence is exempt from tax.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax[btx_TaxType=""VAT""].btx_TaxExemptionReasonText",Header_ Tax,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_TaxType=VAT:Tax_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
160,en16931,3,A,,VAT exemption reason code,Code,0..1,"Project-defined VAT exemption reason code in the VAT breakdown context, represented as Code.",$.invoice.vatBreakdown.vatExemptionReasonCode,VAT breakdown,250,btx,4,A,,Tax Exemption Reason Code,Token,0..1,Code identifying the reason why the tax occurrence is exempt from tax.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax[btx_TaxType=""VAT""].btx_TaxExemptionReasonCode",Header_ Tax,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_TaxType=VAT:Tax_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
161,en16931,2,C,,Additional supporting documents,,0..*,"Project-defined Additional supporting documents in the Additional supporting document context, represented as structured information.",$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][not(attachedDocument)],Additional supporting document,155,btx,3,C,,Referenced Document,,0..*,Reference for the document; number assigned to track the document,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""supportingDocument""]",Referenced Document,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v13 approved disjoint BG-24 structure; same-occurrence predicate selects Document_Type=supportingDocument.
161,en16931,2,C,,Additional supporting documents,,0..*,"Project-defined Additional supporting documents in the Additional supporting document context, represented as structured information.",$.invoice.additionalSupportingDocuments[externalDocumentLocation][not(attachedDocument)],Additional supporting document,155,btx,3,C,,Referenced Document,,0..*,Reference for the document; number assigned to track the document,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""externalDocument""]",Referenced Document,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v13 approved disjoint BG-24 structure; same-occurrence predicate selects Document_Type=externalDocument.
