sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
162,0000.0003.0002.0008.0001,3,3,A,,Supporting document reference,Identifier,1..1,,document. A description of the supporting,en16931,Additional supporting document,BT-122,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].supportingDocumentReference,,,SupportingDocumentReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:IssuerAssignedID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
163,0000.0003.0002.0008.0004,3,3,A,,Supporting document description,Text,0..1,,document. The URL (Uniform Resource Locator) that identifies where the external document is located.,en16931,Additional supporting document,BT-123,$.invoice.additionalSupportingDocuments.supportingDocumentDescription,,,SupportingDocumentDescription,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:Name,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
164,0000.0003.0002.0008.0002,3,3,A,,External document location,Identifier,0..1,,The URL (Uniform Resource Locator) that identifies where the external document is located.,en16931,Additional supporting document,BT-124,$.invoice.additionalSupportingDocuments[externalDocumentLocation][not(attachedDocument)].externalDocumentLocation,,,ExternalDocumentLocation,ram:URIID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:URIID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
165,0000.0003.0002.0008.0005,3,3,A,,Attached document,Binary object,0..1,,An attached document embedded as binary object or sent together with the invoice. The mime code of the attached document. The file name of the attached document A group of business terms providing,en16931,Additional supporting document,BT-125,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].attachedDocument,,,AttachedDocument,ram:AttachmentBinaryObject,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:AttachmentBinaryObject,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
166,0000.0003.0002.0008.0005@mimeCode,3,3,A,,Attached document MIME code,Code,1..1,,The MIME code of the attached document.,en16931,Additional supporting document,BT-125-1,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].attachedDocumentMimeCode,,,AttachedDocumentMimeCode,@mimeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:AttachmentBinaryObject/@mimeCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
167,0000.0003.0002.0008.0005@filename,3,3,A,,Attached document filename,Text,1..1,,The file name of the attached document.,en16931,Additional supporting document,BT-125-2,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].attachedDocumentFilename,,,AttachedDocumentFilename,@filename,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:AttachmentBinaryObject/@filename,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
168,0000.0003.0001,2,2,C,,Invoice line,,1..*,,information on individual Invoice lines.,en16931,Invoice line,BG-25,$.invoice.invoiceLine,,,InvoiceLine,ram:IncludedSupplyChainTradeLineItem,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
169,0000.0003.0001.0001.0001,3,3,A,,Invoice line identifier,Identifier,1..1,,A unique identifier for the individual line within the Invoice. A textual note that gives,en16931,Invoice line,BT-126,$.invoice.invoiceLine.invoiceLineIdentifier,,,InvoiceLineIdentifier,ram:LineID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:LineID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
170,0000.0003.0001.0001.0002.0001,3,3,A,,Invoice line note,Text,0..1,,unstructured information that is relevant to the Invoice line. An identifier for an object on which,en16931,Invoice line,BT-127,$.invoice.invoiceLine.invoiceLineNote,,,InvoiceLineNote,ram:Content,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:IncludedNote/ram:Content,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
171,0000.0003.0001.0005.0006.0001,3,3,A,,Invoice line object identifier,Identifier,0..1,,Identifier for an object on which the invoice line is based.,en16931,Invoice line,BT-128,$.invoice.invoiceLine.invoiceLineObjectIdentifier,,,InvoiceLineObjectIdentifier,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:AdditionalReferencedDocument[ram:TypeCode='130']/ram:IssuerAssignedID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
172,0000.0003.0001.0005.0006.0003,3,3,A,,Scheme identifier,Identifier,0..1,,The identification scheme identifier of the Invoice line object identifier.,en16931,Invoice line,BT-128-1,$.invoice.invoiceLine.invoiceLineObjectIdentifierSchemeIdentifier,,,SchemeIdentifier,ram:ReferenceTypeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:AdditionalReferencedDocument[ram:TypeCode='130']/ram:ReferenceTypeCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
173,0000.0003.0001.0004.0001,3,3,A,,Invoiced quantity,Quantity,0..1,,services) that is charged in the Invoice line. The unit of measure that applies to the invoiced quantity.,en16931,Invoice line,BT-129,$.invoice.invoiceLine.invoicedQuantity,,,InvoicedQuantity,ram:BilledQuantity,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeDelivery/ram:BilledQuantity,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
174,0000.0003.0001.0004.0001@unitCode,3,3,A,,Invoiced quantity unit code,Code,0..1,,Unit of measure for invoiced quantity.,en16931,Invoice line,BT-130,$.invoice.invoiceLine.invoicedQuantityUnitCode,,,InvoicedQuantityUnitCode,@unitCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeDelivery/ram:BilledQuantity/@unitCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
175,0000.0003.0001.0005.0005.0001,3,3,A,,Invoice line net amount,Amount,1..1,,Line net amount.,en16931,Invoice line,BT-131,$.invoice.invoiceLine.invoiceLineNetAmount,,,InvoiceLineNetAmount,ram:LineTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeSettlementLineMonetarySummation/ram:LineTotalAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
176,0000.0003.0001.0003.0001.0001,3,3,A,,Referenced purchase order line reference,Identifier,0..1,,"within a purchase order, issued by the Buyer. A textual value that specifies where",en16931,Invoice line,BT-132,$.invoice.invoiceLine.referencedPurchaseOrderLineReference,,,ReferencedPurchaseOrderLineReference,ram:LineID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:BuyerOrderReferencedDocument/ram:LineID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
177,0000.0003.0001.0005.0007.0001,3,3,A,,Invoice line buyer accounting reference,Text,0..1,,to book the relevant data into the Buyer's financial accounts. A group of business terms providing,en16931,Invoice line,BT-133,$.invoice.invoiceLine.invoiceLineBuyerAccountingReference,,,InvoiceLineBuyerAccountingReference,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ReceivableSpecifiedTradeAccountingAccount/ram:ID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
178,0000.0003.0001.0005.0003,3,3,C,,Invoice line period,,0..1,,information about the period relevant for the Invoice line. The date when the Invoice period,en16931,Invoice line period,BG-26,$.invoice.invoiceLine.invoiceLinePeriod,,,InvoiceLinePeriod,ram:BillingSpecifiedPeriod,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
179,0000.0003.0001.0005.0003.0001.0001,4,4,A,,Invoice line period start date,Date,0..1,,for this Invoice line starts.,en16931,Invoice line period,BT-134,$.invoice.invoiceLine.invoiceLinePeriod.invoiceLinePeriodStartDate,,,InvoiceLinePeriodStartDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime/udt:DateTimeString,,CII_DATE_102,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Date uses format 102.
180,0000.0003.0001.0005.0003.0002.0001,4,4,A,,Invoice line period end date,Date,0..1,,The date when the Invoice period for this Invoice line ends. A group of business terms providing,en16931,Invoice line period,BT-135,$.invoice.invoiceLine.invoiceLinePeriod.invoiceLinePeriodEndDate,,,InvoiceLinePeriodEndDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:EndDateTime/udt:DateTimeString,,CII_DATE_102,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Date uses format 102.
181,0000.0003.0001.0005.0004,3,3,C,,Invoice line allowances,,0..*,,information about allowances applicable to the individual Invoice line.,en16931,Invoice line allowance,BG-27,$.invoice.invoiceLine.invoiceLineAllowances,,,InvoiceLineAllowances,ram:SpecifiedTradeAllowanceCharge,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false'],,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
182,0000.0003.0001.0005.0004.0004,4,4,A,,Invoice line allowance amount,Amount,1..1,,"The amount of an allowance, without VAT. The base amount that may be used,",en16931,Invoice line allowance,BT-136,$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceAmount,,,InvoiceLineAllowanceAmount,ram:ActualAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:ActualAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
183,0000.0003.0001.0005.0004.0003,4,4,A,,Invoice line allowance base amount,Amount,0..1,,"in conjunction with the Invoice line allowance percentage, to calculate the Invoice line allowance amount. The percentage that may be used, in",en16931,Invoice line allowance,BT-137,$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceBaseAmount,,,InvoiceLineAllowanceBaseAmount,ram:BasisAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:BasisAmount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
184,0000.0003.0001.0005.0004.0002,4,4,A,,Invoice line allowance percentage,Percentage,0..1,,"conjunction with the Invoice line allowance base amount, to calculate the Invoice line allowance amount.",en16931,Invoice line allowance,BT-138,$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowancePercentage,,,InvoiceLineAllowancePercentage,ram:CalculationPercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:CalculationPercent,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
185,0000.0003.0001.0005.0004.0006,4,4,A,,Invoice line allowance reason,Text,0..1,,Reason for line allowance.,en16931,Invoice line allowance,BT-139,$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceReason,,,InvoiceLineAllowanceReason,ram:Reason,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:Reason,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
186,0000.0003.0001.0005.0004.0005,4,4,A,,Invoice line allowance reason code,Code,0..1,,"The reason for the Invoice line allowance, expressed as a code. A group of business terms providing",en16931,Invoice line allowance,BT-140,$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceReasonCode,,,InvoiceLineAllowanceReasonCode,ram:ReasonCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:ReasonCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
187,0000.0003.0001.0005.0004,3,3,C,,Invoice line charges,,0..*,,information about charges and taxes other than VAT applicable to the individual Invoice line.,en16931,Invoice line charge,BG-28,$.invoice.invoiceLine.invoiceLineCharges,,,InvoiceLineCharges,ram:SpecifiedTradeAllowanceCharge,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true'],,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
188,0000.0003.0001.0005.0004.0004,4,4,A,,Invoice line charge amount,Amount,1..1,,"The amount of a charge, without VAT. The base amount that may be used,",en16931,Invoice line charge,BT-141,$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeAmount,,,InvoiceLineChargeAmount,ram:ActualAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:ActualAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
189,0000.0003.0001.0005.0004.0003,4,4,A,,Invoice line charge base amount,Amount,0..1,,"in conjunction with the Invoice line charge percentage, to calculate the Invoice line charge amount. The percentage that may be used, in",en16931,Invoice line charge,BT-142,$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeBaseAmount,,,InvoiceLineChargeBaseAmount,ram:BasisAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:BasisAmount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
190,0000.0003.0001.0005.0004.0002,4,4,A,,Invoice line charge percentage,Percentage,0..1,,"conjunction with the Invoice line charge base amount, to calculate the Invoice line charge amount.",en16931,Invoice line charge,BT-143,$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargePercentage,,,InvoiceLineChargePercentage,ram:CalculationPercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:CalculationPercent,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
191,0000.0003.0001.0005.0004.0006,4,4,A,,Invoice line charge reason,Text,0..1,,"The reason for the Invoice line charge, expressed as text.",en16931,Invoice line charge,BT-144,$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeReason,,,InvoiceLineChargeReason,ram:Reason,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:Reason,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
192,0000.0003.0001.0005.0004.0005,4,4,A,,Invoice line charge reason code,Code,0..1,,The reason for the Invoice line,en16931,Invoice line charge,BT-145,$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeReasonCode,,,InvoiceLineChargeReasonCode,ram:ReasonCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:ReasonCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
193,0000.0003.0001.0003,3,3,C,,Price details,,1..1,,"information about the price applied for the goods and services invoiced on the Invoice line. The price of an item, exclusive of",en16931,Price detail,BG-29,$.invoice.invoiceLine.priceDetails,,,PriceDetails,ram:SpecifiedLineTradeAgreement,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
194,0000.0003.0001.0003.0003.0001,4,4,A,,Item net price,Amount,1..1,,"VAT, after subtracting item price discount. The total discount subtracted from",en16931,Price detail,BT-146,$.invoice.invoiceLine.priceDetails.itemNetPrice,,,ItemNetPrice,ram:ChargeAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:NetPriceProductTradePrice/ram:ChargeAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
195,0000.0003.0001.0003.0002.0003.0002,4,4,A,,Item price discount,Amount,0..1,,"the Item gross price to calculate the Item net price. The unit price, exclusive of VAT,",en16931,Price detail,BT-147,$.invoice.invoiceLine.priceDetails.itemPriceDiscount,,,ItemPriceDiscount,ram:ActualAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge/ram:ActualAmount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
196,0000.0003.0001.0003.0002.0001,4,4,A,,Item gross price,Amount,0..1,,before subtracting Item price discount.,en16931,Price detail,BT-148,$.invoice.invoiceLine.priceDetails.itemGrossPrice,,,ItemGrossPrice,ram:ChargeAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:ChargeAmount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
197,0000.0003.0001.0003.0003.0002,4,4,A,,Item price base quantity,Quantity,0..1,,The number of item units to which the price applies. The unit of measure that applies to,en16931,Price detail,BT-149,$.invoice.invoiceLine.priceDetails.itemPriceBaseQuantity,,,ItemPriceBaseQuantity,ram:BasisQuantity,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:NetPriceProductTradePrice/ram:BasisQuantity,,,false,CEN STR-3: NetPrice is deterministic forward representation; GrossPrice is reverse alias.
198,0000.0003.0001.0003.0003.0002@unitCode,4,4,A,,Item price base quantity unit code,Code,0..1,,the Item price base quantity. A group of business terms providing,en16931,Price detail,BT-150,$.invoice.invoiceLine.priceDetails.itemPriceBaseQuantityUnitCode,,,ItemPriceBaseQuantityUnitCode,@unitCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:NetPriceProductTradePrice/ram:BasisQuantity/@unitCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
199,0000.0003.0001.0005.0002,3,3,C,,Line VAT information,,1..1,,information about the VAT,en16931,Line VAT information,BG-30,$.invoice.invoiceLine.lineVatInformation,,,LineVatInformation,ram:ApplicableTradeTax,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT'],,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Task-local class-anchor correction: VAT predicate.
200,0000.0003.0001.0005.0002.0002,4,4,A,,Invoiced item VAT category code,Code,1..1,,"The VAT rate, represented as",en16931,Line VAT information,BT-151,$.invoice.invoiceLine.lineVatInformation.invoicedItemVatCategoryCode,,,InvoicedItemVatCategoryCode,ram:CategoryCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:CategoryCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
201,0000.0003.0001.0005.0002.0003,4,4,A,,Invoiced item VAT rate,Decimal,0..1,,percentage that applies to the invoiced item. A group of business terms providing information about the goods and,en16931,Line VAT information,BT-152,$.invoice.invoiceLine.lineVatInformation.invoicedItemVatRate,,,InvoicedItemVatRate,ram:RateApplicablePercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:RateApplicablePercent,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
202,0000.0003.0001.0002,3,3,C,,Item information,,1..1,,A group of business terms providing information about the goods and services invoiced.,en16931,Item information,BG-31,$.invoice.invoiceLine.itemInformation,,,ItemInformation,ram:SpecifiedTradeProduct,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
203,0000.0003.0001.0002.0004,4,4,A,,Item name,Text,1..1,,A name for an item.,en16931,Item information,BT-153,$.invoice.invoiceLine.itemInformation.itemName,,,ItemName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:Name,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
204,0000.0003.0001.0002.0005,4,4,A,,Item description,Text,0..1,,A description for an item.,en16931,Item information,BT-154,$.invoice.invoiceLine.itemInformation.itemDescription,,,ItemDescription,ram:Description,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:Description,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
205,0000.0003.0001.0002.0002,4,4,A,,Item seller identifier,Identifier,0..1,,"An identifier, assigned by the Seller, for the item.",en16931,Item information,BT-155,$.invoice.invoiceLine.itemInformation.itemSellerIdentifier,,,ItemSellerIdentifier,ram:SellerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:SellerAssignedID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
206,0000.0003.0001.0002.0003,4,4,A,,Item buyer identifier,Identifier,0..1,,"An identifier, assigned by the Buyer, for the item.",en16931,Item information,BT-156,$.invoice.invoiceLine.itemInformation.itemBuyerIdentifier,,,ItemBuyerIdentifier,ram:BuyerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:BuyerAssignedID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
207,0000.0003.0001.0002.0001,4,4,A,,Item standard identifier,Identifier,0..1,,An item identifier based on a registered scheme.,en16931,Item information,BT-157,$.invoice.invoiceLine.itemInformation.itemStandardIdentifier,,,ItemStandardIdentifier,ram:GlobalID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:GlobalID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
208,0000.0003.0001.0002.0001@schemeID,4,4,A,,Scheme identifier,Identifier,1..1,,The identification scheme identifier of the Item standard identifier.,en16931,Item information,BT-157-1,$.invoice.invoiceLine.itemInformation.itemStandardIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:GlobalID/@schemeID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
209,0000.0003.0001.0002.0007,4,4,C,,Item Classification Identifier,,0..*,,Technical occurrence class for Item classification identifier and its supplementary components; it does not introduce a new EN BG/BT semantic identity.,en16931,Item Classification Identifier,,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier,,,ItemClassificationIdentifier,ram:DesignatedProductClassification,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
210,0000.0003.0001.0002.0007.0001,5,5,A,,Identifier,Identifier,1..1,,A code for classifying the item by its type or nature.,en16931,Item Classification Identifier,BT-158,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.identifier,,,Identifier,ram:ClassCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification/ram:ClassCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
211,0000.0003.0001.0002.0007.0001@listID,5,5,A,,Scheme identifier,Identifier,1..1,,The identification scheme identifier of the Item classification identifier.,en16931,Item Classification Identifier,BT-158-1,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.schemeIdentifier,,,SchemeIdentifier,@listID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification/ram:ClassCode/@listID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
